very,0.75
great,0.60
much,0.35
some,0.40
hardly,-0.85
relatively,-0.5
pretty,0.75
perfectly,0.75
completely,0.85
highly,0.75
particularly,0.45
totally,0.85
strongly,0.55
terribly,0.75
exceptionally,0.75
bit,-0.35
small,-0.5
really,0.8
ridiculously,-0.65
extraordinarily,0.75
almost,-0.2
somewhat,-0.6
thoroughly,0.65
obviously,0.75
definitely,0.95
tremendously,0.85
significantly,0.45
tremendous,0.85
extremely,0.95
immensely,0.75
exceedingly,0.85
so,0.75
more,0.35
most,0.75
barely,-0.75
slightly,-0.75
fairly,0.65
quite,0.35
certainly,0.75
absolutely,0.95
especially,0.7
awfully,0.75
entirely,0.75
incredibly,0.85
such,0.55
vastly,0.75
only,-0.25
fewest,-0.85
lot,0.75
difficult,-0.65
lowest,-0.85
few,-0.75
fewer,-0.65
minor,-0.75
low,-0.75
lower,-0.65
higher,0.45
highest,0.65
real,0.2
extra,0.2
major,0.35
little,-0.75
less,-0.55
total,0.75
big,0.65
huge,0.75
fully,0.85
complete,0.75
bigger,0.35
absolute,0.75
incredible,0.75
utter,0.75
biggest,0.75
super,0.75
rather,0.75
high,0.55